searchTerms,synonyms,type,uniqueId
"spinazie ala creme","Spinazie à la Crème",one-way,129_1611580148234
laminaatreiniger,"vloerreiniger laminaat;laminaat reiniger;laminaat glansreiniger;laminaat krachtreiniger;laminaat beschermfilm;laminaat alledag",one-way,12_1611580148234
,wentelteef;wentelteefjes,multi-way,1300_1611580148235
"soep vlees","Soepvlees;soepballetjes;poulet;ossenstaart;schenkel;mergpijp",one-way,1301_1611580148235
zoutstengels,"zoute pepsels;salty sticks;trafo bio sticks",one-way,1302_1611580148235
,bahmi;bahmie;bami;bamie,multi-way,1303_1611580148235
,"auto oplader;autolader;car usb charger",multi-way,1304_1611580148235
runderroast,"runder roast",one-way,1306_1611580148235
,"spareribs;spare ribs;sparerib",multi-way,1307_1611580148235
vanillesaus,"Dr. Oetker Vanille Aroma 38ml",one-way,1308_1611580148235
"opgeklopte slagroom","slagroom kant en klaar;hollandia slagroom",one-way,1309_1611580148235
8718452215560,8718452261062,one-way,130_1611580148234
merengue,meringues,one-way,1310_1611580148235
kersttaart,"kerst tulband;kerst elandtaartje;winter topper slagroomtaart;winter topper slagroom schnitte;kerst tompouce;chocoladetaartje",one-way,1311_1611580148235
,"glutenvrij;zonder gluten;glutenvrije;gluten vrij;glutenvrije producten;glutenvrije levensmiddelen;glutenfrei;geschikt bij glutenintolerantie;gluten vrije;glutenfree;gluten free",multi-way,1312_1611580148235
broccolischotel,"dagschotel broccoli;dagschotel sperziebonen",one-way,1313_1611580148235
,"varkenshaas;varkenshaasje",multi-way,1314_1611580148235
rollades,"winter topper varkensrollade;varken filetrollade;winter topper filetrollade;scharrelkip rollade;malse kiprollade",one-way,1315_1611580148235
